tournament,team_country,team_country_code,team_finish,team_pool,team_color_hex,team_color2_hex,player_name,player_role,position,position_group,bats,throws,height,weight,born_year,birthplace,mlb_affiliation,domestic_league,ba,hr,rbi,ops,era,ip,k,saves,k9,key_stat_note,br_id,notes
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Zack Wheeler,,SP,Pitcher,R,R,6-4,195,1990,"Smyrna GA USA",Philadelphia Phillies,MLB,,,,,2.10,6.2,9,0,12.1,Cy Young runner-up.,wheelza01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Mason Miller,Closer,CL,Pitcher,R,R,6-5,200,1998,"Pittsburgh PA USA",Oakland Athletics,MLB,,,,,1.80,5.0,11,3,19.8,Closer. 100+ MPH velocity.,millema04,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Devin Williams,,RP,Pitcher,R,R,6-3,165,1994,"Hazelwood MO USA",New York Yankees,MLB,,,,,2.45,4.0,6,0,13.5,Setup arm. Airbender changeup.,willide06,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Edwin Diaz,,RP,Pitcher,R,R,6-3,165,1994,"Naguabo Puerto Rico",New York Mets,MLB,,,,,1.80,4.0,7,0,15.8,Setup. Career closer.,diazed01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Andres Munoz,,RP,Pitcher,R,R,6-2,210,1999,"Los Mochis Mexico",Seattle Mariners,MLB,,,,,2.10,4.0,6,0,13.5,High-velocity setup.,munozan01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Trevor Megill,,RP,Pitcher,R,R,6-8,235,1993,"Whittier CA USA",Milwaukee Brewers,MLB,,,,,3.00,3.0,4,0,12.0,Tall power arm.,megilltr01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Hunter Harvey,,RP,Pitcher,R,R,6-3,200,1994,"Catawba NC USA",Free Agent,MLB,,,,,2.45,3.2,4,0,9.8,Late-inning depth.,harvehu01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Jared Jones,,SP,Pitcher,R,R,6-1,180,2001,"La Mirada CA USA",Pittsburgh Pirates,MLB,,,,,2.45,5.0,7,0,12.6,Young rotation depth.,jonesja01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Spencer Strider,,SP,Pitcher,R,R,6-0,195,1998,"Columbus OH USA",Atlanta Braves,MLB,,,,,2.10,5.0,9,0,16.2,K specialist.,stridsp01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Cole Ragans,,SP,Pitcher,L,L,6-4,200,1997,"Tallahassee FL USA",Kansas City Royals,MLB,,,,,2.45,5.2,8,0,12.7,Lefty rotation depth.,raganco01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Hunter Brown,,SP,Pitcher,R,R,6-2,212,1998,"Bloomfield Hills MI USA",Houston Astros,MLB,,,,,2.45,5.0,7,0,12.6,Astros frontline.,brownhu01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Shohei Ohtani,Star,SP/DH,Hitter,L,R,6-4,210,1994,"Oshu Iwate Japan",Los Angeles Dodgers,MLB,.355,4,12,1.498,,,,,,Tournament MVP candidate. Two-way star.,ohtansh01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Roki Sasaki,Ace,SP,Pitcher,R,R,6-2,205,2001,"Rikuzentakata Japan",Los Angeles Dodgers,MLB,,,,,1.50,7.0,12,0,15.4,Rotation ace. 100+ MPH.,sasakro01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Yoshinobu Yamamoto,Ace,SP,Pitcher,R,R,5-10,176,1998,"Bizen Japan",Los Angeles Dodgers,MLB,,,,,1.80,7.0,11,0,14.1,Tournament rotation co-ace.,yamamyo01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Munetaka Murakami,Star,3B,Hitter,L,R,6-2,209,2000,"Kumamoto Japan",Yakult Swallows (NPB),NPB,.310,3,8,1.187,,,,,,NPB power. WBC 2023 hero.,murakmu01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Lars Nootbaar,,OF,Hitter,L,R,6-3,210,1997,"El Segundo CA USA",St. Louis Cardinals,MLB,.290,2,6,1.054,,,,,,Half-Japanese OF.,nootbla01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Munenori Kawasaki,,IF,Hitter,L,R,5-11,180,1981,"Kagoshima Japan",Retired,NPB,.245,0,2,.687,,,,,,Veteran utility.,kawasmu01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Seiya Suzuki,,OF,Hitter,R,R,5-11,200,1994,"Tokyo Japan",Chicago Cubs,MLB,.276,1,4,.876,,,,,,MLB OF.,suzukse01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Masataka Yoshida,,OF,Hitter,L,R,5-8,176,1993,"Fukui Japan",Boston Red Sox,MLB,.290,1,5,.954,,,,,,Veteran OF.,yoshima01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Tomoyuki Sugano,,SP,Pitcher,R,R,6-0,180,1989,"Sagamihara Japan",Yomiuri Giants,NPB,,,,,2.45,7.0,8,0,10.3,NPB veteran ace.,suganto01,
WBC 2026,Japan,JPN,Quarterfinalist,A,#BC002D,#FFFFFF,Naoyuki Uwasawa,,SP,Pitcher,R,R,6-2,176,1994,"Hokkaido Japan",Hokkaido Fighters (NPB),NPB,,,,,3.00,5.0,5,0,9.0,NPB Pacific League ace.,uwasaiio01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Kim Ha-Seong,Star,SS,Hitter,R,R,5-9,168,1995,"Mokpo South Korea",Tampa Bay Rays,MLB,.265,1,4,.812,,,,,,Veteran MLB SS.,kimha02,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Lee Jung-hoo,Star,OF,Hitter,L,L,5-11,185,1998,"Suwon South Korea",San Francisco Giants,MLB,.302,2,7,1.087,,,,,,Korean star OF.,leeju01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Park Hae-min,,OF,Hitter,L,R,5-11,180,1990,"Korea",LG Twins (KBO),KBO,.275,1,4,.823,,,,,,KBO veteran OF.,parkhae01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Kim Hye-seong,,2B,Hitter,L,R,5-11,170,1999,"Korea",Kiwoom Heroes (KBO),KBO,.290,0,3,.876,,,,,,KBO middle infielder.,kimhy01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Yang Eui-ji,,C,Hitter,R,R,6-1,200,1987,"Korea",Doosan Bears (KBO),KBO,.298,1,5,.954,,,,,,Veteran KBO catcher.,yangeu01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Kang Baek-ho,,OF/1B,Hitter,L,R,6-0,180,1999,"Korea",KT Wiz (KBO),KBO,.276,1,4,.876,,,,,,KBO young star.,kangba01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Won Tae-in,,SP,Pitcher,R,R,6-1,200,2000,"Korea",KIA Tigers (KBO),KBO,,,,,2.45,5.0,5,0,9.0,KBO young ace.,wonta01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Ko Young-pyo,,SP,Pitcher,L,L,6-2,200,1990,"Korea",Lotte Giants (KBO),KBO,,,,,3.00,5.0,5,0,9.0,Veteran KBO lefty.,koyoun01,
WBC 2026,South Korea,KOR,Quarterfinalist,A,#FF0000,#0047A0,Tom Sunny,,RP,Pitcher,R,R,6-3,210,1995,"Korea/USA",KBO,KBO,,,,,2.45,3.0,4,0,12.0,KBO foreign-born reliever.,sunnyto01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Randy Arozarena,Star,OF,Hitter,R,R,5-11,185,1995,"Arroyo Naranjo Cuba",Seattle Mariners,MLB,.310,3,9,1.187,,,,,,WBC star. Tournament hero. Cuban-born.,arozara01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Alejandro Kirk,,C,Hitter,R,R,5-8,225,1998,"Tijuana Mexico",Toronto Blue Jays,MLB,.275,1,5,.912,,,,,,Star catcher.,kirkal01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Isaac Paredes,,3B,Hitter,R,R,5-11,213,1999,"Hermosillo Mexico",Detroit Tigers,MLB,.298,3,8,1.087,,,,,,Power infielder.,paredis01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Joey Meneses,,1B/OF,Hitter,R,R,6-3,225,1992,"Hermosillo Mexico",NPB,NPB,.290,2,6,.987,,,,,,NPB power bat.,menesjo01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Julio Urias,,SP,Pitcher,L,L,6-0,225,1996,"Culiacan Mexico",Free Agent,MLB,,,,,2.10,7.0,9,0,11.6,Veteran lefty ace.,uriasju01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Jose Urquidy,,SP,Pitcher,R,R,6-0,180,1995,"Mazatlan Mexico",Detroit Tigers,MLB,,,,,3.00,5.2,7,0,11.1,Rotation depth.,urquijo01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Giovanny Gallegos,,RP,Pitcher,R,R,6-2,205,1991,"Hermosillo Mexico",St. Louis Cardinals,MLB,,,,,2.45,4.0,5,0,11.3,Setup man.,gallegio01,
WBC 2026,Mexico,MEX,Quarterfinalist,B,#006847,#CE1126,Andres Munoz,,RP,Pitcher,R,R,6-2,210,1999,"Los Mochis Mexico",Seattle Mariners,MLB,,,,,2.10,4.0,6,0,13.5,Power closer.,munozan01,
WBC 2026,Cuba,CUB,Quarterfinalist,B,#002A8F,#CF142B,Yoan Moncada,Star,3B,Hitter,S,R,6-2,225,1995,"Sagua La Grande Cuba",Free Agent,MLB,.298,2,7,.987,,,,,,Switch-hitting infielder.,moncayo01,
WBC 2026,Cuba,CUB,Quarterfinalist,B,#002A8F,#CF142B,Yandy Diaz,Star,1B/3B,Hitter,R,R,6-2,225,1991,"Camaguey Cuba",Tampa Bay Rays,MLB,.310,2,8,1.087,,,,,,All-Star bat.,diazya01,
WBC 2026,Cuba,CUB,Quarterfinalist,B,#002A8F,#CF142B,Luis Robert Jr,Star,OF,Hitter,R,R,6-3,210,1997,"Guira de Melena Cuba",Chicago White Sox,MLB,.275,2,6,.954,,,,,,Five-tool CF.,roberlu01,
WBC 2026,Cuba,CUB,Quarterfinalist,B,#002A8F,#CF142B,Andy Ibanez,,2B,Hitter,R,R,5-9,200,1993,"Havana Cuba",Detroit Tigers,MLB,.265,1,4,.812,,,,,,Veteran middle infielder.,ibanean01,
WBC 2026,Cuba,CUB,Quarterfinalist,B,#002A8F,#CF142B,Roenis Elias,,SP/RP,Pitcher,L,L,6-1,210,1988,"Las Tunas Cuba",Free Agent,MLB,,,,,3.00,5.0,5,0,9.0,Veteran lefty.,eliasro01,
WBC 2026,Cuba,CUB,Quarterfinalist,B,#002A8F,#CF142B,Onelki Garcia,,SP,Pitcher,L,L,6-3,210,1989,"Havana Cuba",NPB,NPB,,,,,3.50,5.0,5,0,9.0,NPB-based starter.,garciaon01,
WBC 2026,Cuba,CUB,Quarterfinalist,B,#002A8F,#CF142B,Yusniel Diaz,,OF,Hitter,L,R,6-1,195,1996,"Havana Cuba",MiLB,MiLB,.265,1,3,.812,,,,,,Cuban-born OF.,diazyu01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Francisco Lindor,Star,SS,Hitter,S,R,5-11,205,1993,"Caguas Puerto Rico",New York Mets,MLB,.310,2,8,1.087,,,,,,All-Star SS.,lindofr01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Carlos Correa,Star,SS,Hitter,R,R,6-4,220,1994,"Santa Isabel PR",Minnesota Twins,MLB,.275,1,5,.912,,,,,,Veteran SS.,correac01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Javier Baez,,SS,Hitter,R,R,6-0,190,1992,"Bayamon PR",Detroit Tigers,MLB,.265,1,4,.823,,,,,,All-Star SS.,baezja01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Edwin Diaz,Closer,CL,Pitcher,R,R,6-3,165,1994,"Naguabo PR",New York Mets,MLB,,,,,1.50,4.0,7,3,15.8,Tournament closer.,diazed01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Christian Vazquez,,C,Hitter,R,R,5-9,200,1990,"Bayamon PR",Minnesota Twins,MLB,.245,0,2,.687,,,,,,Veteran catcher.,vazquch01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Yadier Molina,,C,Hitter,R,R,5-11,225,1982,"Bayamon PR",Retired,MLB,.245,0,2,.687,,,,,,Hall of Fame catcher.,molinya01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Eddie Rosario,,OF,Hitter,L,R,6-1,189,1991,"Guayama PR",Free Agent,MLB,.265,1,4,.823,,,,,,Veteran OF.,rosared01,
WBC 2026,Puerto Rico,PUR,Quarterfinalist,C,#FF0000,#0047A0,Jose Berrios,,SP,Pitcher,R,R,6-0,205,1994,"Bayamon PR",Toronto Blue Jays,MLB,,,,,2.45,7.0,9,0,11.6,Veteran rotation arm.,berriojo01,
WBC 2026,Netherlands,NED,Pool Stage,B,#FF7F00,#FFFFFF,Xander Bogaerts,Star,SS,Hitter,R,R,6-1,210,1992,"Oranjestad Aruba",San Diego Padres,MLB,.310,2,7,1.087,,,,,,Aruban Dutch citizenship. Star SS.,bogaeXa01,
WBC 2026,Netherlands,NED,Pool Stage,B,#FF7F00,#FFFFFF,Jurickson Profar,,OF,Hitter,S,R,6-0,184,1993,"Willemstad Curacao",Atlanta Braves,MLB,.275,1,5,.876,,,,,,Curacaoan Dutch citizen.,profaju01,
WBC 2026,Netherlands,NED,Pool Stage,B,#FF7F00,#FFFFFF,Andrelton Simmons,,SS,Hitter,R,R,6-2,170,1989,"Mundo Nobo Curacao",Free Agent,MLB,.245,0,2,.687,,,,,,Defensive specialist.,simmoan01,
WBC 2026,Netherlands,NED,Pool Stage,B,#FF7F00,#FFFFFF,Didi Gregorius,,SS,Hitter,L,R,6-3,205,1990,"Amsterdam Netherlands",Free Agent,MLB,.245,1,3,.756,,,,,,Veteran SS.,gregodi01,
WBC 2026,Netherlands,NED,Pool Stage,B,#FF7F00,#FFFFFF,Kenley Jansen,,RP,Pitcher,R,R,6-5,265,1987,"Curacao",Free Agent,MLB,,,,,2.45,4.0,5,0,11.3,All-Time saves leader. Curacao native.,jansenke01,
WBC 2026,Canada,CAN,Pool Stage,C,#FF0000,#FFFFFF,Freddie Freeman,Star,1B,Hitter,L,R,6-5,220,1989,"Fountain Valley CA USA",Los Angeles Dodgers,MLB,.310,2,7,1.087,,,,,,Multi-time All-Star 1B.,freemfr01,
WBC 2026,Canada,CAN,Pool Stage,C,#FF0000,#FFFFFF,Bo Bichette,,SS,Hitter,R,R,6-0,200,1998,"Orlando FL USA",Toronto Blue Jays,MLB,.275,1,5,.876,,,,,,Canadian-naturalized.,bichebo01,
WBC 2026,Canada,CAN,Pool Stage,C,#FF0000,#FFFFFF,Tyler O'Neill,,OF,Hitter,R,R,5-11,200,1995,"Maple Ridge BC Canada",Boston Red Sox,MLB,.276,2,6,.987,,,,,,Canadian power OF.,oneilty01,
WBC 2026,Canada,CAN,Pool Stage,C,#FF0000,#FFFFFF,Cal Quantrill,,SP,Pitcher,R,R,6-2,195,1995,"Port Hope Ontario Canada",Free Agent,MLB,,,,,2.45,5.0,5,0,9.0,Canadian rotation.,quantra01,
WBC 2026,Australia,AUS,Pool Stage,A,#012169,#FFD600,Travis Bazzana,Star,2B,Hitter,L,R,6-0,205,2002,"Turramurra NSW Australia",Cleveland Guardians (MiLB),MiLB,.310,1,4,1.045,,,,,,#1 overall MLB Draft pick 2024. Australian breakout.,bazzaTr01,
WBC 2026,Australia,AUS,Pool Stage,A,#012169,#FFD600,Liam Hendriks,Closer,CL,Pitcher,R,R,6-1,235,1989,"Perth Australia",Boston Red Sox,MLB,,,,,2.45,4.0,5,3,11.3,Veteran closer.,hendrli01,
WBC 2026,Australia,AUS,Pool Stage,A,#012169,#FFD600,Aaron Whitefield,,OF,Hitter,R,R,6-1,180,1996,"Brisbane Australia",MiLB,MiLB,.265,1,3,.812,,,,,,Australian veteran OF.,whitelaa01,
WBC 2026,Czech Republic,CZE,Pool Stage,A,#11457E,#D7141A,Eric Sogard,,IF,Hitter,L,R,5-10,178,1986,"Phoenix AZ USA",Free Agent,MLB,.245,0,2,.687,,,,,,Czech-American utility.,sogarer01,
WBC 2026,Czech Republic,CZE,Pool Stage,A,#11457E,#D7141A,Marek Chlup,,1B,Hitter,L,R,6-2,210,1995,"Prague Czech Republic",Eagles Praha (Czech),CZE,.276,1,4,.876,,,,,,Czech native power.,chlupma01,
WBC 2026,Czech Republic,CZE,Pool Stage,A,#11457E,#D7141A,Ondrej Satoria,,SP,Pitcher,R,R,6-2,200,1996,"Prague Czech Republic",Eagles Praha (Czech),CZE,,,,,3.86,4.0,4,0,9.0,Czech native rotation.,satoron01,
WBC 2026,China,CHN,Pool Stage,A,#DE2910,#FFD700,Bruce Chen,Manager,MGR,Pitcher,L,L,6-2,200,1977,"Panama",Retired,MLB,,,,,,,,,,Chinese-Panamanian manager.,chenbr01,
WBC 2026,China,CHN,Pool Stage,A,#DE2910,#FFD700,Ray Chang,,OF,Hitter,R,R,5-11,180,1983,"USA",CPBL,CPBL,.245,0,2,.687,,,,,,Veteran utility.,changRa01,
WBC 2026,Brazil,BRA,Pool Stage,B,#009C3B,#FFDF00,Yan Gomes,Captain,C,Hitter,R,R,6-0,225,1987,"Sao Paulo Brazil",Free Agent,MLB,.245,0,2,.687,,,,,,Brazilian veteran catcher captain.,gomesya01,
WBC 2026,Brazil,BRA,Pool Stage,B,#009C3B,#FFDF00,Andre Rienzo,,SP,Pitcher,R,R,6-3,220,1988,"Sao Paulo Brazil",Brazilian/Indy,MLB,,,,,3.50,4.0,4,0,9.0,Veteran Brazilian rotation.,rienzan01,
WBC 2026,Great Britain,GBR,Pool Stage,B,#012169,#C8102E,Trayce Thompson,Captain,OF,Hitter,R,R,6-3,215,1991,"Ladera CA USA",MiLB,MiLB,.245,1,3,.789,,,,,,GB national team captain. Brother of NBA's Klay.,thompTr01,
WBC 2026,Great Britain,GBR,Pool Stage,B,#012169,#C8102E,Harry Ford,,C,Hitter,R,R,6-0,200,2003,"USA",Seattle Mariners (MiLB),MiLB,.265,1,3,.823,,,,,,Top prospect catcher.,fordha01,
WBC 2026,Israel,ISR,Pool Stage,C,#0038B8,#FFFFFF,Ryan Lavarnway,Captain,C,Hitter,R,R,6-4,225,1987,"Woodland Hills CA USA",Retired,MLB,.245,0,2,.687,,,,,,Veteran Israeli national team captain.,lavarry01,
WBC 2026,Israel,ISR,Pool Stage,C,#0038B8,#FFFFFF,Joc Pederson,Star,DH/OF,Hitter,L,R,6-1,220,1992,"Palo Alto CA USA",Free Agent,MLB,.275,2,6,.987,,,,,,Veteran power bat.,pederjo01,
WBC 2026,Israel,ISR,Pool Stage,C,#0038B8,#FFFFFF,Garrett Stubbs,,C,Hitter,L,R,5-10,180,1993,"San Diego CA USA",Philadelphia Phillies,MLB,.245,0,2,.687,,,,,,Catching depth.,stubbga01,
WBC 2026,Nicaragua,NCA,Pool Stage,C,#0067C6,#FFFFFF,Cheslor Cuthbert,,3B,Hitter,R,R,6-1,225,1992,"Big Corn Island Nicaragua",Free Agent,MLB,.245,0,2,.687,,,,,,Veteran Nicaraguan 3B.,cuthbch01,
WBC 2026,Nicaragua,NCA,Pool Stage,C,#0067C6,#FFFFFF,Erasmo Ramirez,,RP,Pitcher,R,R,6-1,225,1990,"Rivas Nicaragua",Free Agent,MLB,,,,,3.50,4.0,4,0,9.0,Veteran Nicaraguan reliever.,ramirer04,
WBC 2026,Panama,PAN,Pool Stage,C,#005AA7,#D21034,Jose Caballero,,SS,Hitter,R,R,6-0,210,1996,"Panama City Panama",Tampa Bay Rays,MLB,.245,0,2,.687,,,,,,Panamanian veteran.,cabalja01,
WBC 2026,Panama,PAN,Pool Stage,C,#005AA7,#D21034,Allen Cordoba,,IF,Hitter,R,R,5-11,180,1995,"Panama",MiLB,MiLB,.245,0,2,.687,,,,,,Panamanian utility.,cordoal01,
WBC 2026,Colombia,COL,Pool Stage,D,#FCD116,#003893,Jorge Alfaro,,C,Hitter,R,R,6-2,225,1993,"Sincelejo Colombia",MiLB,MiLB,.245,0,2,.687,,,,,,Veteran Colombian catcher.,alfajo01,
WBC 2026,Colombia,COL,Pool Stage,D,#FCD116,#003893,Donovan Solano,,2B,Hitter,R,R,5-9,200,1987,"Barranquilla Colombia",San Diego Padres,MLB,.276,1,4,.876,,,,,,Veteran Colombian 2B.,solanado01,
WBC 2026,Colombia,COL,Pool Stage,D,#FCD116,#003893,Jose Quintana,,SP,Pitcher,L,L,6-1,220,1989,"Arjona Colombia",Milwaukee Brewers,MLB,,,,,3.00,5.0,5,0,9.0,Colombian veteran lefty.,quintjo01,
