Order (chronological),Display Title,Year (Almanac),Year (Wikipedia),Year Mismatch?,Type (auto),Director,Genre (source),Summary,Tags (manual),Controlled Tags,WBN Notes (factual),War-adjacent? (manual),International focus? (manual),Pre-FNL era? (auto),Pre-Moneyball era? (auto),Tags (auto),Baseball level,Setting (state/country),Release Decade,Almanac Details,Almanac Link,Wikipedia Link,Sources,Last verified,Needs research?,Simmons Top21?,Simmons Top21 Rank,Simmons Honorable Mention?,Simmons Not Mentioned?,Simmons Notes,Stream (Library),Stream (FAST),
88,Moochie of the Little League,1959,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
89,Experiment in Terror,1962,,,,,,,,,,,,Yes,Yes,,,,1960s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
90,Safe at Home!,1962,1962,,,Walter Doniger,Comedy,With Mickey Mantle and Roger Maris as themselves . [ 48 ],,,,,,Yes,Yes,,,,1960s,Amazon,https://www.amazon.com/exec/obidos/asin/6303962874/baseballalmanac,https://en.wikipedia.org/wiki/Safe_at_Home!,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
91,That Touch Of Mink,1962,,,,,,,,,,,,Yes,Yes,,,,1960s,Amazon,https://www.amazon.com/exec/obidos/asin/0782006809/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
92,Damn Yankees,1967,1958,Yes,,George Abbott and Stanley Donen,Musical,A man sells his soul to the devil on behalf of the Washington Senators . [ 47 ],,,,,,Yes,Yes,,,,1960s,Amazon,,https://en.wikipedia.org/wiki/Damn_Yankees_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
93,One-Legged Ace,1971,,,,,,,,,,,,Yes,Yes,,,,1970s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
94,The Ceremony,1971,,,,,,,,,,,,Yes,Yes,,,,1970s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
95,Bang the Drum Slowly,1973,1973,,,John D. Hancock,Drama,Robert De Niro and Michael Moriarty star in Mark Harris 's adaptation of his own novel about a pitcher who develops a friendship with a catcher who has a terminal disease. [ 49 ],,,,,,Yes,Yes,,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/6300216608/baseballalmanac,https://en.wikipedia.org/wiki/Bang_the_Drum_Slowly_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
96,It's Good To Be Alive,1974,1974,,TV Movie,Michael Landon,Biographical,"TV movie about former Brooklyn Dodgers catcher Roy Campanella , whose career was cut short when he lost the use of his legs in an auto accident in January 1958. [ 50 ]",,,,,,Yes,Yes,biopic/true story,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/6303704506/baseballalmanac,https://en.wikipedia.org/wiki/It%27s_Good_to_Be_Alive_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
97,Two Ball Games,1975,,,,,,,,,,,,Yes,Yes,,,,1970s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
98,The Bad News Bears,1976,1976,,,Michael Ritchie,Comedy,Walter Matthau 's bad Little League team gets help from a girl pitcher ( Tatum O'Neal ) and a motorcycle-riding slugger ( Jackie Earle Haley ). [ 51 ],,,,,,Yes,Yes,,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/6300216810/baseballalmanac,https://en.wikipedia.org/wiki/The_Bad_News_Bears,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,Pluto TV,,,,,,
99,The Bingo Long Traveling All-Stars & Motor Kings,1976,1976,,,John Badham,Comedy,"A barnstorming team of Negro leagues players, with James Earl Jones , Billy Dee Williams , Richard Pryor . [ 52 ]",,,,,,Yes,Yes,negro leagues,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/6300182630/baseballalmanac,https://en.wikipedia.org/wiki/The_Bingo_Long_Traveling_All-Stars_%26_Motor_Kings,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
100,Just The Beginning,1977,,,,,,,,,,,,Yes,Yes,,,,1970s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
101,Murder at the World Series,1977,1977,,TV Movie,Cy Chermak,Drama,TV film starring Karen Valentine and Janet Leigh . [ 53 ],,,,,,Yes,Yes,,,,1970s,Amazon,,https://en.wikipedia.org/wiki/Murder_at_the_World_Series,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
102,The Bad News Bears in Breaking Training,1977,1977,,,Michael Pressman,Comedy,"Sequel to 1976 film , with William Devane as the team's coach. [ 54 ]",,,,,,Yes,Yes,,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/6300216985/baseballalmanac,https://en.wikipedia.org/wiki/The_Bad_News_Bears_in_Breaking_Training,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
103,A Boy Called Third Base,1978,,,,,,,,,,,,Yes,Yes,,,,1970s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
104,A Love Affair: The Eleanor and Lou Gehrig Story,1978,1978,,TV Movie,Fielder Cook,Biographical,"TV film on Yankee immortal's marriage and tragedy, featuring Blythe Danner and Edward Herrmann . [ 56 ]",,,,,,Yes,Yes,"war-adjacent, biopic/true story",,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/B00000IQCI/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
105,"Goodbye, Franklin High",1978,,,,,,,,,,,,Yes,Yes,,,,1970s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
106,Here Come The Tigers,1978,,,,,,,,,,,,Yes,Yes,,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/6301928547/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
107,One in a Million: The Ron LeFlore Story,1978,1978,,TV Movie,William Graham,Biographical,"TV film on the life and career of Ron LeFlore , starring LeVar Burton . [ 55 ]",,,,,,Yes,Yes,biopic/true story,,,1970s,Amazon,,https://en.wikipedia.org/wiki/One_in_a_Million:_The_Ron_LeFlore_Story,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
108,The Bad News Bears Go to Japan,1978,1978,,,John Berry,Comedy,"Second sequel to 1976 film , this time starring Tony Curtis . [ 54 ]",,,,,,Yes,Yes,,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/B000003KBC/baseballalmanac,https://en.wikipedia.org/wiki/The_Bad_News_Bears_Go_to_Japan,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
109,Aunt Mary,1979,1979,,,Peter Werner,Drama,A disabled women sets up a baseball team of street kids to save them from juvenile delinquency. [ 58 ] [ 59 ],,,,,,Yes,Yes,,,,1970s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
110,The Kid from Left Field,1979,1979,,TV Movie,Adell Aldrich,Comedy,"Made-for-TV remake of the 1953 film , starring Gary Coleman . [ 57 ]",,,,,,Yes,Yes,,,,1970s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004WLV3/baseballalmanac,https://en.wikipedia.org/wiki/The_Kid_from_Left_Field_(1979_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
111,It's My Turn,1980,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6302797454/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
112,The Comeback Kid,1980,1980,,,Peter Levin,Comedy,Former minor leaguer ( John Ritter ) begins coaching underprivileged kids. [ 61 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6300151867/baseballalmanac,https://en.wikipedia.org/wiki/The_Comeback_Kid_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
113,"Don't Look Back : The Story of ""Satchel"" Paige",1981,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6303101429/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
114,Don't Look Back: The Story of Leroy 'Satchel' Paige,1981,1981,,TV Movie,Richard A. Colla,Biographical,TV film with Louis Gossett Jr. as Satchel Paige . [ 62 ],,,,,,Yes,Yes,biopic/true story,,,1980s,,,https://en.wikipedia.org/wiki/Don%27t_Look_Back:_The_Story_of_Leroy_%27Satchel%27_Paige,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
115,Million Dollar Infields,1982,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
116,Squeeze Play!,1982,1979,Yes,,Lloyd Kaufman,Comedy,Sexy women form a softball team. [ 60 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6304143265/baseballalmanac,https://en.wikipedia.org/wiki/Squeeze_Play!,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
117,Zapped!,1982,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6304773366/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
118,Blue Skies Again,1983,1983,,,Richard Michaels,Comedy,"Denver Devils' potential second baseman isn't a man, it's a young woman. [ 64 ]",,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6300270092/baseballalmanac,https://en.wikipedia.org/wiki/Blue_Skies_Again_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
119,Max Dugan Returns,1983,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/B000006GE2/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
120,Tiger Town,1983,1983,,,Alan Shapiro,Comedy,Early Disney Channel film about an aging Detroit Tigers ( Roy Scheider ). [ 65 ],,,,,,Yes,Yes,,,,1980s,Amazon,,https://en.wikipedia.org/wiki/Tiger_Town,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
121,A Soldier's Story,1984,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6302272645/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
122,The Natural,1984,1984,,,Barry Levinson,Drama,"Robert Redford in a fable about an unlikely, unlucky hero, Roy Hobbs. [ 66 ]",,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/0767809262/baseballalmanac,https://en.wikipedia.org/wiki/The_Natural_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,Tubi,,,,,,
123,Brewster's Millions,1985,1985,,,Walter Hill,Comedy,Richard Pryor as a minor-leaguer with a chance to inherit 300 million dollars. [ 67 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/B00000F2LQ/baseballalmanac,https://en.wikipedia.org/wiki/Brewster%27s_Millions_(1985_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
124,Heck of a Year,1985,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
125,Insignificance,1985,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/0784012652/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
126,MacArthur's Children,1985,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6300219720/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
127,The Slugger's Wife,1985,1985,,,Hal Ashby,Romance,An Atlanta Braves player tries to break Roger Maris ' record and make a marriage work. [ 68 ] [ 69 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6302862752/baseballalmanac,https://en.wikipedia.org/wiki/The_Slugger%27s_Wife,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
128,A Winner Never Quits,1986,1986,,TV Movie,Mel Damski,Biographical,"A television film on one-armed pro ballplayer Pete Gray , played by Keith Carradine . [ 70 ]",,,,,,Yes,Yes,biopic/true story,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6302804582/baseballalmanac,https://en.wikipedia.org/wiki/A_Winner_Never_Quits,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
129,Chasing Dreams,1986,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/B00063H5I6/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
130,Ferris Bueller's Day Off,1986,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6300214753/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
131,Amazing Grace and Chuck,1987,1987,,,Mike Newell,Drama,A Montana boy refuses to pitch Little League until the world bans nuclear weapons. With Gregory Peck as President of the United States. [ 73 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/630192861X/baseballalmanac,https://en.wikipedia.org/wiki/Amazing_Grace_and_Chuck,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
132,Long Gone,1987,1987,,TV Movie,Martin Davidson,Comedy,Early cable television film about a minor-league ballclub starring William Petersen . [ 71 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6301648838/baseballalmanac,https://en.wikipedia.org/wiki/Long_Gone_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
133,New York Yankees (The Movie),1987,1987,,Documentary,Lawrence Miller,Documentary,Interviews and footage covering the then-84 year history of the New York Yankees. [ 74 ],,,,,,Yes,Yes,,,,1980s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
134,Stogies,1987,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/B00008T2B2/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
135,Trading Hearts,1987,1987,,,Neil Leifer,Comedy,Has-been player ( Raúl Juliá ) and his romance with a Florida single mom. [ 72 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6301025059/baseballalmanac,https://en.wikipedia.org/wiki/Trading_Hearts,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
136,Bull Durham,1988,1988,,,Ron Shelton,Rom-Com,Ron Shelton 's screwball comedy of a woman's ( Susan Sarandon ) summer with two minor-leaguers ( Kevin Costner and Tim Robbins ). [ 75 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/B0000399WO/baseballalmanac,https://en.wikipedia.org/wiki/Bull_Durham,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,Tubi,,,,,,
137,Eight Men Out,1988,1988,,,John Sayles,Biographical,Based on the 1919 Black Sox Scandal . [ 76 ],,,,,,Yes,Yes,biopic/true story,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/0792841786/baseballalmanac,https://en.wikipedia.org/wiki/Eight_Men_Out,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,Tubi,,,,,,
138,Stealing Home,1988,1988,,,Steven Kampmann and William Porter,Drama,Mark Harmon and Jodie Foster in a fictional tale of lost love. [ 77 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/0790737701/baseballalmanac,https://en.wikipedia.org/wiki/Stealing_Home,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
139,The Naked Gun: From the Files of Police Squad!,1988,1988,,,David Zucker,Comedy,"Someone's out to kill the Queen of England during a California Angels baseball game, and it's up to bumbling detective Frank Drebin ( Leslie Nielsen ) to foil the plot. [ 78 ]",,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6301391004/baseballalmanac,https://en.wikipedia.org/wiki/The_Naked_Gun:_From_the_Files_of_Police_Squad!,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
140,Field of Dreams,1989,1989,,,Phil Alden Robinson,Drama,Voices tell an Iowa farmer ( Kevin Costner ) to build a baseball stadium in his cornfield. [ 79 ],"fantasy, nostalgia",,,,,Yes,Yes,,,"Iowa, USA",1980s,Amazon,https://www.amazon.com/exec/obidos/asin/0783235968/baseballalmanac,https://en.wikipedia.org/wiki/Field_of_Dreams,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,Peacock,,,,,,
141,Major League,1989,1989,,,David S. Ward,Comedy,Fictional story of a team of misfit Cleveland Indians . [ 80 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/B000003KMM/baseballalmanac,https://en.wikipedia.org/wiki/Major_League_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,Tubi,,,,,,
142,Night Game,1989,1989,,,Peter Masterson,Crime drama,A ballpark murder mystery starring Roy Scheider . [ 81 ],,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/6301929772/baseballalmanac,https://en.wikipedia.org/wiki/Night_Game_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
143,There Was Always Sun Shining Someplace: Life in the Negro Leagues,1989,,,,,,,,,,,,Yes,Yes,,,,1980s,Amazon,https://www.amazon.com/exec/obidos/asin/0967368405/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
144,Babe Ruth : Man Myth Legend,1990,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/630164106X/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
145,Mr. Destiny,1990,1990,,,James Orr,Comedy,A man ( James Belushi ) blames his misfortune on a long-ago baseball game. [ 82 ],,,,,,Yes,Yes,,,,1990s,,,https://en.wikipedia.org/wiki/Mr._Destiny,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
146,Taking Care of Business,1990,1990,,,Arthur Hiller,Comedy,A man ( James Belushi ) escapes jail to see the Chicago Cubs play in a World Series. [ 83 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6301919114/baseballalmanac,https://en.wikipedia.org/wiki/Taking_Care_of_Business_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
147,The Court-Martial of Jackie Robinson,1990,1990,,TV Movie,Larry Peerce,Drama,Andre Braugher in TV biopic of Robinson's court-martial in U.S. Army. [ 85 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6301950291/baseballalmanac,https://en.wikipedia.org/wiki/The_Court-Martial_of_Jackie_Robinson,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
148,Babe Ruth,1991,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
149,City Slickers,1991,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/0792837258/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
150,Pastime,1991,1990,Yes,,Robin B. Armstrong,Drama,"A pair of minor leaguers, one 17, one 40, form a bond. [ 84 ]",,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/630235319X/baseballalmanac,https://en.wikipedia.org/wiki/Pastime_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
151,Talent for the Game,1991,1991,,,Robert M. Young,Drama,A fictional Los Angeles Angels baseball scout ( Edward James Olmos ) finds a fantastic young pitcher. [ 86 ],,,,,,Yes,Yes,war-adjacent,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6302182654/baseballalmanac,https://en.wikipedia.org/wiki/Talent_for_the_Game,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
152,When It Was a Game,1991,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/0783117531/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
153,A League of Their Own,1992,1992,,,Penny Marshall,Comedy,"A fictionalized account of the All-American Girls Professional Baseball League of the 1940s, starring Geena Davis and Tom Hanks . [ 89 ]","WWII home front, women's baseball",,,Yes,,Yes,Yes,,,USA,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6302655862/baseballalmanac,https://en.wikipedia.org/wiki/A_League_of_Their_Own,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,Tubi,,,,,,
154,Mr. Baseball,1992,1992,,,Fred Schepisi,Rom-Com,Tom Selleck as a baseball star who ends up in Japan. [ 90 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6302676576/baseballalmanac,https://en.wikipedia.org/wiki/Mr._Baseball,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
155,The Babe,1992,1992,,,Arthur Hiller,Biographical,"Based on the life and career of Babe Ruth , starring John Goodman . [ 87 ]",,,,,,Yes,Yes,biopic/true story,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6302534372/baseballalmanac,https://en.wikipedia.org/wiki/The_Babe_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
156,The Comrades of Summer,1992,1992,,TV Movie,Tommy Lee Wallace,Comedy,A television film about a manager ( Joe Mantegna ) asked to take over a Soviet ballclub. [ 88 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/630271544X/baseballalmanac,https://en.wikipedia.org/wiki/The_Comrades_of_Summer,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
157,When It Was a Game 2,1992,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B000059H7M/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
158,Cooperstown,1993,1993,,,Charles Haid,Drama,A former pitcher is visited by the ghost of his catcher. [ 94 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00104Z75I/baseballalmanac,https://en.wikipedia.org/wiki/Cooperstown_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
159,Rookie of the Year,1993,1993,,,Daniel Stern,Comedy,A boy develops a magical right arm and becomes a big-league pitcher for the Cubs. [ 91 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6302946379/baseballalmanac,https://en.wikipedia.org/wiki/Rookie_of_the_Year_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
160,The Man From Left Field,1993,1993,,TV Movie,Burt Reynolds,Comedy,A television film about a homeless man ( Burt Reynolds ) coaching a Little League team. [ 92 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6303057829/baseballalmanac,https://en.wikipedia.org/wiki/The_Man_From_Left_Field,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
161,The Sandlot,1993,1993,,,David Mickey Evans,Comedy,A man reminisces about his childhood friends and the games they played. [ 93 ],"kids, coming-of-age",,,,,Yes,Yes,,,"California (San Fernando Valley), USA",1990s,Amazon,https://www.amazon.com/exec/obidos/asin/630596260X/baseballalmanac,https://en.wikipedia.org/wiki/The_Sandlot,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,Disney+,Tubi,,,,,,
162,Angels in the Outfield,1994,1994,,,William Dear,Comedy,Disney remake of the 1951 film of the same name. [ 96 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6303315305/baseballalmanac,https://en.wikipedia.org/wiki/Angels_in_the_Outfield_(1994_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
